Operator,Indoor_Outdoor_Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Travelling,4G,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,2,Poor Voice Quality,28.59358754,77.16427589,NCT
BSNL,Indoor,3G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,5,Satisfactory,-1,-1,NA
BSNL,Travelling,2G,5,Satisfactory,-1,-1,NA
BSNL,Travelling,3G,1,Poor Voice Quality,-1,-1,NA
BSNL,Travelling,3G,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,5,Satisfactory,28.59363371,77.1642034,NCT
RJio,Indoor,4G,5,Satisfactory,25.62588923,85.09438546,Bihar
RJio,Indoor,4G,5,Satisfactory,25.62588923,85.09438546,Bihar
RJio,Outdoor,4G,2,Poor Voice Quality,21.3749155,81.66704286,Chhattisgarh
RJio,Outdoor,4G,1,Call Dropped,28.607595,77.02321833,NCT
RJio,Outdoor,4G,4,Satisfactory,12.3629157,76.6441789,Karnataka
Airtel,Indoor,3G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,28.1208693,77.3307241,Haryana
RJio,Outdoor,4G,1,Poor Voice Quality,17.25422878,82.53787922,Andhra Pradesh
Idea,Indoor,3G,2,Poor Voice Quality,-1,-1,NA
RJio,Travelling,4G,1,Poor Voice Quality,17.45379457,78.56600319,Telangana
RJio,Indoor,4G,1,Call Dropped,28.607595,77.02321833,NCT
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,2,Poor Voice Quality,26.8491544,80.956541,Uttar Pradesh
BSNL,Indoor,Unknown,2,Poor Voice Quality,26.8491544,80.956541,Uttar Pradesh
BSNL,Indoor,3G,3,Satisfactory,28.9658826,77.7362908,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,11.2422009,77.2331508,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2422009,77.2331508,Tamil Nadu
Airtel,Indoor,3G,1,Call Dropped,13.0105351,77.703192,Karnataka
RJio,Travelling,4G,2,Poor Voice Quality,28.66349901,77.26747369,NCT
Vodafone,Indoor,4G,5,Satisfactory,28.6223463,77.3671665,Uttar Pradesh
Vodafone,Indoor,Unknown,5,Satisfactory,28.6223463,77.3671665,Uttar Pradesh
Vodafone,Indoor,Unknown,5,Satisfactory,28.6223463,77.3671665,Uttar Pradesh
Vodafone,Indoor,Unknown,5,Satisfactory,28.5744352,77.3537819,Uttar Pradesh
